Event	ID	Name			Wwise Object Path	Notes
	316097	State_ENV_Dimension_01			\Weapons\State_ENV_Dimension_01	
	1125980	Stop_ANM_Gull_Loop_01			\Weapons\Stop_ANM_Gull_Loop_01	
	13835653	Play_PET_wolf_bite_01			\Weapons\Play_PET_wolf_bite_01	
	16546612	Play_BOSS_Rat_Kunai_Prep_01			\Weapons\Play_BOSS_Rat_Kunai_Prep_01	
	16695587	Play_WPN_screechgun_reload_01			\Weapons\Play_WPN_screechgun_reload_01	
	21291593	Play_WPN_SAA_reload_01			\Weapons\Play_WPN_SAA_reload_01	
	26319054	Play_OBJ_fuse_loop_01			\Weapons\Play_OBJ_fuse_loop_01	
	39482381	Play_WPN_spacerifle_shot_01			\Weapons\Play_WPN_spacerifle_shot_01	
	43715938	Play_ITM_Macho_Brace_Trigger_01			\Weapons\Play_ITM_Macho_Brace_Trigger_01	
	49891483	Play_WPN_Life_Orb_Fade_01			\Weapons\Play_WPN_Life_Orb_Fade_01	
	52298577	Play_NPC_magic_blessing_01			\Weapons\Play_NPC_magic_blessing_01	
	52331191	Stop_ENV_rain_loop_01			\Weapons\Stop_ENV_rain_loop_01	
	54206810	Stop_WPN_seriouscannon_charge_01			\Weapons\Stop_WPN_seriouscannon_charge_01	
	55328190	Play_ENM_shells_gather_01			\Weapons\Play_ENM_shells_gather_01	
	62604520	Play_OBJ_glass_shatter_01			\Weapons\Play_OBJ_glass_shatter_01	
	63648518	Play_OBJ_platter_crunch_01			\Weapons\Play_OBJ_platter_crunch_01	
	68730756	Play_ENM_orb_laser_01			\Weapons\Play_ENM_orb_laser_01	
	73939000	Play_BOSS_bulletbros_slam_01			\Weapons\Play_BOSS_bulletbros_slam_01	
	74156195	Play_WPN_Gun_Musical_01			\Weapons\Play_WPN_Gun_Musical_01	
	75595487	Play_WPN_LowerCaseR_Bye_Booyakasha_01			\Weapons\Play_WPN_LowerCaseR_Bye_Booyakasha_01	
	76290102	Play_ENM_shelleton_impact_01			\Weapons\Play_ENM_shelleton_impact_01	
	76884946	Play_Empty_Event_01			\Weapons\Play_Empty_Event_01	
	79952675	Play_ENM_highpriest_gatling_01			\Weapons\Play_ENM_highpriest_gatling_01	
	81773239	Play_MUS_Map_Intro_01			\Weapons\Play_MUS_Map_Intro_01	
	82916095	Play_wpn_kthulu_soul_01			\Weapons\Play_wpn_kthulu_soul_01	
	83653868	Play_WPN_SAA_spin_01			\Weapons\Play_WPN_SAA_spin_01	
	93139742	Play_OBJ_daggershield_shot_01			\Weapons\Play_OBJ_daggershield_shot_01	
	108385153	Play_WPN_smileyrevolver_shot_01			\Weapons\Play_WPN_smileyrevolver_shot_01	
	109160109	Play_ENM_highpriest_intro_01			\Weapons\Play_ENM_highpriest_intro_01	
	119662001	Play_WPN_iceogre_shot_01			\Weapons\Play_WPN_iceogre_shot_01	
	128077740	Play_CHR_coop_voice_01			\Weapons\Play_CHR_coop_voice_01	
	131291913	Play_BOSS_dragun_explode_01			\Weapons\Play_BOSS_dragun_explode_01	
	138989566	Play_WPN_LowerCaseR_Chest_Teeth_01			\Weapons\Play_WPN_LowerCaseR_Chest_Teeth_01	
	140340573	Play_ENM_electric_charge_01			\Weapons\Play_ENM_electric_charge_01	
	140697280	Play_ENM_bullat_charge_01			\Weapons\Play_ENM_bullat_charge_01	
	141444756	Play_AGUNIM_VO_FIGHT_INTRO_08			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_08	
	141444760	Play_AGUNIM_VO_FIGHT_INTRO_04			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_04	
	141444761	Play_AGUNIM_VO_FIGHT_INTRO_05			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_05	
	141444762	Play_AGUNIM_VO_FIGHT_INTRO_06			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_06	
	141444763	Play_AGUNIM_VO_FIGHT_INTRO_07			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_07	
	141444765	Play_AGUNIM_VO_FIGHT_INTRO_01			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_01	
	141444766	Play_AGUNIM_VO_FIGHT_INTRO_02			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_02	
	141444767	Play_AGUNIM_VO_FIGHT_INTRO_03			\Weapons\Play_AGUNIM_VO_FIGHT_INTRO_03	
	143345667	Play_ENM_pop_shot_01			\Weapons\Play_ENM_pop_shot_01	
	147971697	Play_ENM_kali_charge_01			\Weapons\Play_ENM_kali_charge_01	
	150131084	Play_OBJ_chandelier_impact_01			\Weapons\Play_OBJ_chandelier_impact_01	
	152742782	Play_ENM_ironmaiden_open_01			\Weapons\Play_ENM_ironmaiden_open_01	
	159359086	Play_WPN_zapper_reload_01			\Weapons\Play_WPN_zapper_reload_01	
	165370171	Play_WPN_glass_impact_01			\Weapons\Play_WPN_glass_impact_01	
	166108141	Play_ENV_acidsizzle_loop_01			\Weapons\Play_ENV_acidsizzle_loop_01	
	167037933	Play_VO_lichA_cackle_01			\Weapons\Play_VO_lichA_cackle_01	
	176749267	Play_WPN_thatyellowblaster_shot_01			\Weapons\Play_WPN_thatyellowblaster_shot_01	
	181477894	Play_BOSS_blobulord_burst_01			\Weapons\Play_BOSS_blobulord_burst_01	
	183143305	Play_WPN_LowerCaseR_Magical_Spell_01			\Weapons\Play_WPN_LowerCaseR_Magical_Spell_01	
	188976261	Play_WPN_bsg_shot_01			\Weapons\Play_WPN_bsg_shot_01	
	196652136	Play_WPN_LowerCaseR_Bomb_Kaboom_01			\Weapons\Play_WPN_LowerCaseR_Bomb_Kaboom_01	
	198144539	Play_OBJ_coin_large_01			\Weapons\Play_OBJ_coin_large_01	
	198987114	Play_BOSS_bat_shot_01			\Weapons\Play_BOSS_bat_shot_01	
	204259019	Play_OBJ_box_cover_01			\Weapons\Play_OBJ_box_cover_01	
	205144973	Play_BOSS_lichB_intro_01			\Weapons\Play_BOSS_lichB_intro_01	
	209419548	Play_MUS_Space_Theme_01			\Weapons\Play_MUS_Space_Theme_01	
	213561709	Play_WPN_m1rifle_shot_01			\Weapons\Play_WPN_m1rifle_shot_01	
	215851803	Play_BOSS_cyborg_charge_01			\Weapons\Play_BOSS_cyborg_charge_01	
	219649542	Play_MUS_Gunsling_State_Win			\Weapons\Play_MUS_Gunsling_State_Win	
	232059299	Play_ENV_oilfire_ignite_01			\Weapons\Play_ENV_oilfire_ignite_01	
	242545009	Play_ENM_smiley_whistle_01			\Weapons\Play_ENM_smiley_whistle_01	
	242545010	Play_ENM_smiley_whistle_02			\Weapons\Play_ENM_smiley_whistle_02	
	247333327	Play_OBJ_metacoin_collect_01			\Weapons\Play_OBJ_metacoin_collect_01	
	249661218	Play_BOSS_RatMech_Stomp_01			\Weapons\Play_BOSS_RatMech_Stomp_01	
	257028845	Play_OBJ_chaff_blast_01			\Weapons\Play_OBJ_chaff_blast_01	
	257534952	Play_PET_dog_bark_02			\Weapons\Play_PET_dog_bark_02	
	257534955	Play_PET_dog_bark_01			\Weapons\Play_PET_dog_bark_01	
	264235311	Play_WPN_fossilgun_shot_01			\Weapons\Play_WPN_fossilgun_shot_01	
	270728025	Play_OBJ_cardoor_open_01			\Weapons\Play_OBJ_cardoor_open_01	
	271938498	Play_OBJ_bomb_fuse_01			\Weapons\Play_OBJ_bomb_fuse_01	
	273541510	Play_wpn_toxic_impact_01			\Weapons\Play_wpn_toxic_impact_01	
	276770989	Play_CHR_spacerogue_voice_01			\Weapons\Play_CHR_spacerogue_voice_01	
	277373322	Play_BOSS_lasthuman_torch_01			\Weapons\Play_BOSS_lasthuman_torch_01	
	277697902	Play_WPN_pollster_shot_01			\Weapons\Play_WPN_pollster_shot_01	
	282174915	Play_ENM_mummy_curse_01			\Weapons\Play_ENM_mummy_curse_01	
	284715760	Play_BOSS_FuseBomb_Attack_Ball_01			\Weapons\Play_BOSS_FuseBomb_Attack_Ball_01	
	298633142	Play_WPN_energycannon_shot_01			\Weapons\Play_WPN_energycannon_shot_01	
	301104122	Play_MUS_Ending_Pilot_01			\Weapons\Play_MUS_Ending_Pilot_01	
	303756357	Play_ENM_chainknight_prep_01			\Weapons\Play_ENM_chainknight_prep_01	
	306211781	Play_WPN_warp_impact_01			\Weapons\Play_WPN_warp_impact_01	
	306775129	Play_PET_chicken_summon_01			\Weapons\Play_PET_chicken_summon_01	
	319727481	Play_VO_fairy_spawn_01			\Weapons\Play_VO_fairy_spawn_01	
	330117600	Play_WPN_spark_impact_01			\Weapons\Play_WPN_spark_impact_01	
	338794052	Play_WPN_seriouscannon_shot_01			\Weapons\Play_WPN_seriouscannon_shot_01	
	339202736	Play_OBJ_blackhole_close_01			\Weapons\Play_OBJ_blackhole_close_01	
